letter,frequency,Altitude bin,chart,color
100,7275,> 2000 ft<4000,c1,1
50,17544,> 4000 ft,c1,3
10,11576,< 1000 ft,c1,3
1500,3411,> 1000 ft,c1,4
2000,2248,> 1000 ft<2000,c1,3
3000,4276,> 1000 ft,c1,5
4000,2540,> 2000 ft<4000,c1,2
3500,3204,> 1000 ft<2000,c1,1
5000,1980,> 2000 ft<4000,c1,4
4500,740,< 1000 ft,c1,1
5500,315,> 1000 ft,c1,2
3700,400,< 1000 ft,c1,3
3200,990,> 1000 ft,c1,5
2100,660,> 1000 ft,c1,4
100,7275,< 1000 ft,c2,1
50,17544,< 1000 ft,c2,3
10,11576,< 1000 ft,c2,3
1500,3411,> 1000 ft<2000,c2,4
2000,2248,> 1000 ft<2000,c2,3
3000,4276,> 2000 ft<4000,c2,5
4000,2540,> 2000 ft<4000,c2,2
3500,3204,> 2000 ft<4000,c2,1
5000,1980,> 4000 ft,c2,4
4500,740,> 1000 ft,c2,1
5500,315,> 1000 ft,c2,2
3700,400,> 1000 ft,c2,3
3200,990,> 1000 ft,c2,5
2100,660,> 1000 ft,c2,4
100,7275,< 1000 ft,c3,1
50,17544,< 1000 ft,c3,3
10,11576,< 1000 ft,c3,3
1500,3411,> 1000 ft<2000,c3,4
2000,2248,> 1000 ft<2000,c3,3
3000,4276,> 2000 ft<4000,c3,5
4000,2540,> 2000 ft<4000,c3,2
3500,3204,> 2000 ft<4000,c3,1
5000,1980,> 4000 ft,c3,4
4500,740,> 1000 ft,c3,1
5500,315,> 1000 ft,c3,2
3700,400,> 1000 ft,c3,3
3200,990,> 1000 ft,c3,5
2100,660,> 1000 ft,c3,4
100,7275,< 1000 ft,c4,1
50,17544,< 1000 ft,c4,3
10,11576,< 1000 ft,c4,3
1500,3411,> 1000 ft<2000,c4,4
2000,2248,> 1000 ft<2000,c4,3
3000,4276,> 2000 ft<4000,c4,5
4000,2540,> 2000 ft<4000,c4,2
3500,3204,> 2000 ft<4000,c4,1
5000,1980,> 4000 ft,c4,4
4500,740,> 1000 ft,c4,1
5500,315,> 1000 ft,c4,2
3700,400,> 1000 ft,c4,3
3200,990,> 1000 ft,c4,5
2100,660,> 1000 ft,c4,4
100,7275,< 1000 ft,c5,1
50,17544,< 1000 ft,c5,3
10,11576,< 1000 ft,c5,3
1500,3411,> 1000 ft<2000,c5,4
2000,2248,> 1000 ft<2000,c5,3
3000,4276,> 2000 ft<4000,c5,5
4000,2540,> 2000 ft<4000,c5,2
3500,3204,> 2000 ft<4000,c5,1
5000,1980,> 4000 ft,c5,4
4500,740,> 1000 ft,c5,1
5500,315,> 1000 ft,c5,2
3700,400,> 1000 ft,c5,3
3200,990,> 1000 ft,c5,5
2100,660,> 1000 ft,c5,4
