letter,frequency,Distribution,,,,,color,color1,color2
90K,1536,140,0.203703704,,,0.174647887,17.46478873,3.055555556,6.111111111
125K,1404,85,0,,,0.01971831,1.971830986,0,0
75K,2821,184,0.366666667,,,0.298591549,29.85915493,5.5,11
55K,12712,252,0.618518519,,,0.490140845,49.01408451,9.277777778,18.55555556
50K,7064,293,0.77037037,,,0.605633803,60.56338028,11.55555556,23.11111111
120K,1049,87,0.007407407,,,0.025352113,2.535211268,0.111111111,0.222222222
115K,1832,104,0.07037037,,,0.073239437,7.323943662,1.055555556,2.111111111
110K,1479,101,0.059259259,,,0.064788732,6.478873239,0.888888889,1.777777778
105K,4528,118,0.122222222,,,0.112676056,11.26760563,1.833333333,3.666666667
100K,5000,125,0.148148148,,,0.132394366,13.23943662,2.222222222,4.444444444
95K,2064,133,0.177777778,,,0.154929577,15.49295775,2.666666667,21.33333333
85K,7245,158,0.27037037,,,0.225352113,22.53521127,4.055555556,8.111111111
80K,4715,169,0.311111111,,,0.256338028,25.63380282,4.666666667,9.333333333
45K,5829,292,0.766666667,,,0.602816901,60.28169014,11.5,23
40K,17032,324,0.885185185,,,0.692957746,69.29577465,13.27777778,26.55555556
35K,4046,330,0.907407407,,,0.709859155,70.98591549,13.61111111,27.22222222
30K,14730,344,0.959259259,,,0.749295775,74.92957746,14.38888889,15.77777778
25K,1267,355,1,,,0.78028169,78.02816901,15,30
10K,14076,320,0.87037037,,,0.681690141,68.16901408,13.05555556,26.11111111
