id,source,target,weight
#dfb0c7#f3d027,#dfb0c7,#f3d027,1
#a2ccc0#f1d9ca,#a2ccc0,#f1d9ca,1
#ff8000#ffab1c,#ff8000,#ffab1c,3
#c91e11#ffab1c,#c91e11,#ffab1c,1
#00beb9#eac793,#00beb9,#eac793,1
#920000#f80f19,#920000,#f80f19,1
#f9468c#ffab1c,#f9468c,#ffab1c,3
#8ad2f1#dfb0c7,#8ad2f1,#dfb0c7,1
#920000#ffab1c,#920000,#ffab1c,1
#23bf0c#ffab1c,#23bf0c,#ffab1c,6
#863e85#23bf0c,#863e85,#23bf0c,1
#f1d9ca#ff8000,#f1d9ca,#ff8000,3
#aad2e0#f9468c,#aad2e0,#f9468c,1
#b7de55#ff8000,#b7de55,#ff8000,3
#1b4c79#dfb0c7,#1b4c79,#dfb0c7,1
#0073aa#1b4c79,#0073aa,#1b4c79,1
#f1d9ca#845145,#f1d9ca,#845145,1
#5a922d#ff8000,#5a922d,#ff8000,1
#0073aa#83b3e3,#0073aa,#83b3e3,1
#0073aa#9796bb,#0073aa,#9796bb,1
#32bff2#00beb9,#32bff2,#00beb9,1
#845145#b7de55,#845145,#b7de55,1
#ddd8ba#eac793,#ddd8ba,#eac793,1
#d4d4d4#ffab1c,#d4d4d4,#ffab1c,1
#add9a1#ffab1c,#add9a1,#ffab1c,1
#a857aa#863e85,#a857aa,#863e85,2
#eac793#920000,#eac793,#920000,1
#423fa8#3c3c3c,#423fa8,#3c3c3c,1
#32bff2#8ad2f1,#32bff2,#8ad2f1,3
#f80f19#f3d027,#f80f19,#f3d027,4
#423fa8#f80f19,#423fa8,#f80f19,1
#51692b#23bf0c,#51692b,#23bf0c,4
#eac793#ffab1c,#eac793,#ffab1c,4
#f1d9ca#ffab1c,#f1d9ca,#ffab1c,1
#add9a1#a5b34b,#add9a1,#a5b34b,1
#00beb9#dfb0c7,#00beb9,#dfb0c7,1
#0073aa#aad2e0,#0073aa,#aad2e0,1
#0572cd#ffab1c,#0572cd,#ffab1c,1
#aad2e0#f1d9ca,#aad2e0,#f1d9ca,1
#ddd8ba#845145,#ddd8ba,#845145,1
#863e85#f80f19,#863e85,#f80f19,1
#00beb9#23bf0c,#00beb9,#23bf0c,1
#423fa8#f1d9ca,#423fa8,#f1d9ca,1
#0572cd#00beb9,#0572cd,#00beb9,2
#423fa8#920000,#423fa8,#920000,1
#83b3e3#b7de55,#83b3e3,#b7de55,1
#eac793#5a922d,#eac793,#5a922d,1
#32bff2#aad2e0,#32bff2,#aad2e0,1
#eac793#f3d027,#eac793,#f3d027,1
#ddd8ba#eac793,#ddd8ba,#eac793,1
#f9468c#b7de55,#f9468c,#b7de55,2
#3c3c3c#f1d9ca,#3c3c3c,#f1d9ca,1
#c91e11#b7de55,#c91e11,#b7de55,1
#0572cd#899390,#0572cd,#899390,1
#32bff2#f3d027,#32bff2,#f3d027,4
#3c3c3c#920000,#3c3c3c,#920000,1
#32bff2#1b4c79,#32bff2,#1b4c79,1
#a857aa#f1d9ca,#a857aa,#f1d9ca,1
#3c3c3c#f3d027,#3c3c3c,#f3d027,1
#863e85#00beb9,#863e85,#00beb9,1
#f1d9ca#920000,#f1d9ca,#920000,1
#add9a1#5a922d,#add9a1,#5a922d,2
#f1d9ca#f3d027,#f1d9ca,#f3d027,2
#aad2e0#ddd8ba,#aad2e0,#ddd8ba,1
#51692b#b7de55,#51692b,#b7de55,4
#0572cd#ff8000,#0572cd,#ff8000,3
#6d6eb9#f9468c,#6d6eb9,#f9468c,2
#a857aa#f80f19,#a857aa,#f80f19,2
#f1d9ca#b7de55,#f1d9ca,#b7de55,1
#6d6eb9#5a922d,#6d6eb9,#5a922d,1
#8ad2f1#add9a1,#8ad2f1,#add9a1,1
#32bff2#83b3e3,#32bff2,#83b3e3,2
#9796bb#6e746a,#9796bb,#6e746a,1
#6d6eb9#ff8000,#6d6eb9,#ff8000,1
#51692b#23bf0c,#51692b,#23bf0c,2
#00beb9#f9468c,#00beb9,#f9468c,2
#aad2e0#d4d4d4,#aad2e0,#d4d4d4,1
#478f8d#eac793,#478f8d,#eac793,1
#00beb9#5a922d,#00beb9,#5a922d,1
#0572cd#f80f19,#0572cd,#f80f19,1
#32bff2#f9468c,#32bff2,#f9468c,1
#00beb9#ff8000,#00beb9,#ff8000,3
#dfb0c7#eac793,#dfb0c7,#eac793,1
#f9468c#5a922d,#f9468c,#5a922d,1
#8ad2f1#ffab1c,#8ad2f1,#ffab1c,2
#f9468c#ff8000,#f9468c,#ff8000,3
#8ad2f1#6e746a,#8ad2f1,#6e746a,1
#30355f#f3d027,#30355f,#f3d027,1
#f9468c#845145,#f9468c,#845145,1
#f9468c#ff8000,#f9468c,#ff8000,2
#c91e11#23bf0c,#c91e11,#23bf0c,1
#f80f19#23bf0c,#f80f19,#23bf0c,2
#00beb9#f9468c,#00beb9,#f9468c,1
#a5b34b#b7de55,#a5b34b,#b7de55,4
#69301d#eac793,#69301d,#eac793,1
#aad2e0#b7de55,#aad2e0,#b7de55,3
#423fa8#f9468c,#423fa8,#f9468c,1
#8ad2f1#845145,#8ad2f1,#845145,1
#a2ccc0#ddd8ba,#a2ccc0,#ddd8ba,1
#dfb0c7#f80f19,#dfb0c7,#f80f19,1
#32bff2#ff8000,#32bff2,#ff8000,3
#aad2e0#ffab1c,#aad2e0,#ffab1c,1
#f9468c#add9a1,#f9468c,#add9a1,1
#920000#23bf0c,#920000,#23bf0c,1
#0572cd#00beb9,#0572cd,#00beb9,1
#1b4c79#83b3e3,#1b4c79,#83b3e3,1
#aad2e0#dfb0c7,#aad2e0,#dfb0c7,1
#0572cd#23bf0c,#0572cd,#23bf0c,3
#f80f19#ff8000,#f80f19,#ff8000,3
#83b3e3#8ad2f1,#83b3e3,#8ad2f1,1
#f1d9ca#ffab1c,#f1d9ca,#ffab1c,3
#d4d4d4#ffab1c,#d4d4d4,#ffab1c,1
#8ad2f1#f1d9ca,#8ad2f1,#f1d9ca,1
#83b3e3#b7de55,#83b3e3,#b7de55,1
#1b4c79#6e746a,#1b4c79,#6e746a,1
#83b3e3#f3d027,#83b3e3,#f3d027,1
#ddd8ba#b7de55,#ddd8ba,#b7de55,1
#0073aa#f9468c,#0073aa,#f9468c,1
#d4d4d4#f3d027,#d4d4d4,#f3d027,1
#aad2e0#a2ccc0,#aad2e0,#a2ccc0,1
#d4d4d4#f9468c,#d4d4d4,#f9468c,1
#c91e11#f3d027,#c91e11,#f3d027,3
#00beb9#f3d027,#00beb9,#f3d027,3
#f9468c#b7de55,#f9468c,#b7de55,1
#f80f19#b7de55,#f80f19,#b7de55,1
#8ad2f1#dfb0c7,#8ad2f1,#dfb0c7,2
#51692b#f80f19,#51692b,#f80f19,1
#aad2e0#ff8000,#aad2e0,#ff8000,1
#eac793#f3d027,#eac793,#f3d027,4
#dfb0c7#f9468c,#dfb0c7,#f9468c,5
#32bff2#f9468c,#32bff2,#f9468c,3
#51692b#a5b34b,#51692b,#a5b34b,1
#32bff2#8ad2f1,#32bff2,#8ad2f1,1
#f9468c#f1d9ca,#f9468c,#f1d9ca,1
#845145#c91e11,#845145,#c91e11,1
#1b4c79#51692b,#1b4c79,#51692b,1
#32bff2#d4d4d4,#32bff2,#d4d4d4,1
#b7de55#ffab1c,#b7de55,#ffab1c,1
#23bf0c#f3d027,#23bf0c,#f3d027,3
#83b3e3#aad2e0,#83b3e3,#aad2e0,1
#f80f19#ff8000,#f80f19,#ff8000,2
#dfb0c7#eac793,#dfb0c7,#eac793,1
#00beb9#478f8d,#00beb9,#478f8d,1
#f80f19#f3d027,#f80f19,#f3d027,3
#845145#69301d,#845145,#69301d,1
#845145#f80f19,#845145,#f80f19,1
#00beb9#b7de55,#00beb9,#b7de55,1
#aad2e0#f9468c,#aad2e0,#f9468c,1
#a5b34b#23bf0c,#a5b34b,#23bf0c,1
#845145#ff8000,#845145,#ff8000,1
#51692b#a5b34b,#51692b,#a5b34b,4
#863e85#dfb0c7,#863e85,#dfb0c7,2
#845145#f3d027,#845145,#f3d027,1
#1b4c79#8ad2f1,#1b4c79,#8ad2f1,1
#8ad2f1#add9a1,#8ad2f1,#add9a1,1
#c91e11#f80f19,#c91e11,#f80f19,2
#899390#23bf0c,#899390,#23bf0c,1
#aad2e0#ddd8ba,#aad2e0,#ddd8ba,1
#845145#f3d027,#845145,#f3d027,1
#c91e11#ff8000,#c91e11,#ff8000,1
#c91e11#b7de55,#c91e11,#b7de55,1
#aad2e0#eac793,#aad2e0,#eac793,1
