state,patients,value
Wyoming,119,2
Wisconsin,693,3
West Virginia,254,3
Washington,968,5
Virginia,732,5
Virgin Islands,79,3
Vermont,81,4
Utah,895,2
Texas,5315,2
Tennessee,2556,1
South Dakota,176,2
South Carolina,1007,2
Rhode Island,260,2
Puerto Rico,153,3
Pennsylvania,2065,2
Oregon,852,4
Oklahoma,668,2
Ohio,2057,5
North Dakota,306,1
North Carolina,1244,1
New York,2947,4
New Mexico,303,5
New Jersey,1494,4
New Hampshire,352,3
Nevada,319,4
Nebraska,831,4
Montana,132,2
Missouri,1651,2
Mississippi,431,1
Minnesota,736,2
Michigan,1394,1
Massachusetts,1034,3
Maryland,855,1
Maine,220,2
Louisiana,1461,4
Kentucky,1711,4
Kansas,402,1
Iowa,533,2
Indiana,1013,4
Illinois,2265,2
Idaho,214,3
Hawaii,1125,3
Georgia,1221,4
Florida,3942,3
Delaware,225,5
DC,1010,3
Connecticut,486,4
Colorado,1991,4
California,5575,5
Arkansas,381,4
Arizona,818,4
Alabama,680,1
