state,patients,value
Wyoming,119,2
Wisconsin,1386,3
West Virginia,508,2
Washington,2904,1
Virginia,3660,5
Virgin Islands,316,2
Vermont,486,1
Utah,895,4
Texas,21260,3
Tennessee,2556,1
South Dakota,1056,4
South Carolina,4028,4
Rhode Island,1560,5
Puerto Rico,612,1
Pennsylvania,4130,2
Oregon,2556,4
Oklahoma,2004,3
Ohio,2057,5
North Dakota,1530,3
North Carolina,7464,2
New York,5894,3
New Mexico,606,1
New Jersey,8964,1
New Hampshire,2112,4
Nevada,1595,5
Nebraska,2493,2
Montana,528,4
Missouri,1651,1
Mississippi,431,1
Minnesota,1472,1
Michigan,6970,4
Massachusetts,2068,5
Maryland,855,3
Maine,220,3
Louisiana,7305,2
Kentucky,8555,1
Kansas,1608,2
Iowa,2665,1
Indiana,4052,2
Illinois,9060,5
Idaho,642,1
Hawaii,2250,2
Georgia,1221,3
Florida,11826,5
Delaware,225,5
DC,4040,1
Connecticut,1944,3
Colorado,1991,5
California,5575,4
Arkansas,381,3
Arizona,4090,1
Alabama,680,4
